gender,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn
Female,4,109.92,2787.49,Month-to-month,DSL,Yes
Female,4,58.94,5933.42,Month-to-month,Fiber optic,No
Female,56,64.31,164.85,Two year,Fiber optic,No
Female,25,41.23,2413.59,One year,DSL,No
Female,67,71.24,4184.86,One year,No,Yes
Female,67,90.38,2952.43,Month-to-month,DSL,No
Male,27,78.95,3531.95,Month-to-month,DSL,No
Male,32,127.84,-1063.5,Month-to-month,Fiber optic,No
Female,50,65.66,3397.37,Month-to-month,DSL,No
Female,61,32.39,1357.47,Two year,No,Yes
Female,51,68.42,2964.82,One year,Fiber optic,No
Female,19,16.67,2455.85,Month-to-month,Fiber optic,No
Female,21,54.34,5917.5,Two year,DSL,No
Female,5,97.49,3320.04,Month-to-month,DSL,Yes
Female,42,71.5,2331.06,Two year,DSL,No
Female,61,68.59,235.46,Month-to-month,Fiber optic,No
Male,22,101.42,2681.72,Month-to-month,Fiber optic,No
Female,21,59.59,3734.84,Month-to-month,No,No
Male,70,90.24,2379.17,Month-to-month,Fiber optic,No
Female,1,67.59,1741.52,Month-to-month,No,Yes
Female,5,72.6,1641.12,One year,Fiber optic,Yes
Male,12,40.65,3302.71,Two year,DSL,Yes
Female,46,55.36,3639.08,One year,DSL,No
Male,34,37.05,4541.82,Month-to-month,Fiber optic,No
Female,49,63.1,1007.5,One year,DSL,No
Female,45,72.81,3288.97,Month-to-month,DSL,Yes
Male,27,42.8,2317.44,Month-to-month,Fiber optic,No
Female,26,105.98,2361.65,One year,No,Yes
Male,47,70.56,3102.74,One year,DSL,Yes
Female,56,66.16,3111.48,Month-to-month,Fiber optic,No
Male,63,80.39,3293.15,Month-to-month,No,No
Male,48,48.42,913.79,Two year,Fiber optic,No
Female,61,68.27,1375.28,Month-to-month,DSL,No
Female,26,50.66,4728.8,Month-to-month,DSL,Yes
Male,36,96.17,2169.14,One year,Fiber optic,Yes
Female,1,43.83,2959.02,Month-to-month,Fiber optic,Yes
Female,8,66.26,4082.0,Month-to-month,No,No
Female,52,71.59,3195.16,Month-to-month,Fiber optic,No
Male,47,72.9,3319.78,One year,DSL,No
Male,56,53.38,3841.87,One year,DSL,No
Male,14,47.09,-675.0,One year,Fiber optic,Yes
Male,28,53.66,1765.07,Two year,DSL,No
Male,2,75.57,3202.91,One year,DSL,No
Male,26,62.12,4581.47,Month-to-month,Fiber optic,No
Male,14,80.92,2599.14,Month-to-month,DSL,No
Male,59,74.54,1232.93,One year,DSL,No
Male,56,19.46,1272.87,One year,Fiber optic,No
Female,7,69.95,3825.79,One year,DSL,Yes
Male,3,110.01,2173.34,One year,DSL,Yes
Female,23,91.51,2489.2,Month-to-month,Fiber optic,No
Female,18,73.44,3422.55,Month-to-month,No,No
Female,38,43.81,-1852.29,Month-to-month,DSL,No
Male,15,74.55,5500.55,Month-to-month,Fiber optic,No
Male,64,79.79,1403.39,Month-to-month,DSL,No
Male,28,59.93,2862.9,One year,Fiber optic,No
Male,39,71.33,-57.05,One year,No,No
Female,57,95.19,1866.19,Month-to-month,Fiber optic,No
Male,17,47.85,4367.03,Month-to-month,No,No
Male,44,43.83,-374.25,Month-to-month,DSL,Yes
Male,25,78.85,4189.3,Month-to-month,DSL,No
Male,17,74.15,2089.46,One year,No,No
Male,13,85.58,3230.75,One year,DSL,No
Female,25,76.4,3486.29,One year,DSL,No
Male,68,53.64,3162.13,One year,Fiber optic,No
Female,10,73.64,1202.57,One year,No,No
Male,67,42.16,1953.18,Month-to-month,No,No
Female,18,59.99,307.67,Month-to-month,DSL,No
Male,34,75.06,3237.69,Month-to-month,No,No
Male,8,57.79,5053.08,Two year,DSL,No
Female,40,114.36,-236.66,Month-to-month,DSL,No
Female,42,27.16,1357.53,Month-to-month,Fiber optic,No
Female,41,54.05,2227.34,Two year,DSL,No
Male,6,46.24,2760.01,Two year,DSL,Yes
Female,52,50.99,3818.76,One year,Fiber optic,No
Male,26,52.14,2271.7,Month-to-month,DSL,No
Male,64,38.47,2026.06,Month-to-month,DSL,No
Female,59,80.05,4154.7,Month-to-month,DSL,No
Female,56,54.06,3492.99,Month-to-month,Fiber optic,No
Male,59,68.27,3308.47,Month-to-month,Fiber optic,Yes
Male,70,56.3,2668.77,Month-to-month,Fiber optic,No
Female,33,51.18,3974.73,Two year,Fiber optic,No
Female,53,98.45,1515.54,Month-to-month,Fiber optic,No
Female,22,83.46,1310.96,One year,No,Yes
Male,21,27.64,3619.15,One year,DSL,No
Male,70,25.52,62.45,Month-to-month,DSL,No
Male,70,85.85,2638.27,One year,No,Yes
Male,4,54.6,2025.16,Month-to-month,DSL,No
Male,62,32.02,391.37,Month-to-month,No,Yes
Male,62,85.91,1103.1,One year,Fiber optic,No
Female,24,68.38,2336.54,Month-to-month,Fiber optic,No
Male,55,70.03,4050.94,Two year,Fiber optic,No
Male,9,81.19,1520.56,Month-to-month,Fiber optic,Yes
Male,3,38.8,4320.07,One year,DSL,No
Female,31,32.37,2594.77,Month-to-month,Fiber optic,No
Male,40,96.62,4465.58,Month-to-month,Fiber optic,No
Male,36,36.26,1593.26,Month-to-month,No,No
Female,24,40.56,2426.79,One year,DSL,No
Male,6,44.55,3052.73,Two year,DSL,No
Male,66,106.6,2230.73,Two year,DSL,No
Male,4,74.87,3929.54,Month-to-month,Fiber optic,Yes
Male,6,84.31,-811.35,One year,No,No
Male,51,68.92,6133.61,One year,DSL,No
Female,62,52.96,3786.66,One year,Fiber optic,No
Female,57,77.63,2239.7,Month-to-month,DSL,No
Female,66,33.87,1671.52,One year,Fiber optic,No
Male,8,43.09,1200.37,Two year,No,No
Male,26,79.66,3468.42,Month-to-month,DSL,No
Male,51,37.85,3992.47,Two year,Fiber optic,No
Female,45,61.22,2256.21,One year,No,No
Male,44,62.13,4160.49,Month-to-month,No,No
Male,5,54.43,1139.11,Month-to-month,Fiber optic,No
Female,70,25.98,874.28,Month-to-month,Fiber optic,No
Male,26,52.42,5220.01,One year,DSL,Yes
Female,68,48.5,3386.66,Two year,Fiber optic,No
Female,19,68.23,4595.27,Month-to-month,No,No
Female,20,67.21,1219.09,Two year,Fiber optic,No
Male,12,72.56,1114.71,Two year,DSL,No
Male,47,51.48,1962.09,Month-to-month,DSL,Yes
Male,1,75.46,1263.91,Two year,DSL,No
Male,14,33.88,3558.05,Two year,DSL,No
Male,64,28.56,1373.31,One year,DSL,No
Male,38,18.29,742.5,One year,Fiber optic,No
Male,37,55.01,2713.02,Two year,DSL,No
Female,11,49.93,565.02,One year,DSL,No
Male,3,80.79,-199.2,Month-to-month,Fiber optic,No
Female,33,52.03,2699.89,Two year,DSL,No
Male,6,70.47,-123.83,One year,DSL,No
Male,50,81.27,3662.92,One year,DSL,Yes
Male,10,51.27,407.0,Month-to-month,DSL,No
Female,5,70.96,-861.01,One year,Fiber optic,No
Female,23,85.04,2059.31,Month-to-month,DSL,Yes
Female,10,40.24,2716.89,Two year,Fiber optic,No
Female,44,65.5,3237.21,Month-to-month,No,No
Male,2,51.36,2758.02,Month-to-month,Fiber optic,Yes
Female,13,41.51,911.03,Month-to-month,Fiber optic,No
Male,40,34.27,3569.59,Month-to-month,No,No
Male,2,41.19,3940.21,One year,Fiber optic,No
Female,65,66.2,691.36,Two year,DSL,No
Female,63,32.78,2228.49,Two year,DSL,No
Female,17,53.99,2088.34,Month-to-month,No,No
Female,9,81.26,2830.57,Month-to-month,DSL,Yes
Female,15,73.98,2192.61,Two year,DSL,No
Female,24,54.39,2398.18,Two year,Fiber optic,No
Female,38,98.79,3462.72,Month-to-month,No,Yes
Female,35,102.86,829.22,Month-to-month,DSL,No
Male,49,65.52,3606.06,Month-to-month,Fiber optic,Yes
Female,69,15.63,4211.7,Two year,DSL,Yes
Female,62,82.73,4951.2,One year,Fiber optic,No
Male,60,19.12,-715.05,Month-to-month,DSL,No
Female,50,94.52,2225.65,Month-to-month,DSL,Yes
Male,9,86.67,-447.65,Two year,No,No
Male,34,100.48,-1152.6,Month-to-month,Fiber optic,Yes
Female,35,70.21,2716.14,Month-to-month,Fiber optic,No
Male,1,57.77,1901.27,One year,Fiber optic,No
Male,40,56.0,2949.78,Month-to-month,DSL,No
Male,64,54.07,3229.19,Month-to-month,Fiber optic,No
Male,22,84.62,4371.84,Two year,DSL,No
Female,60,79.25,2580.88,Two year,DSL,No
Male,64,67.4,6885.03,Two year,DSL,No
Female,72,50.56,2959.61,Two year,Fiber optic,No
Male,11,117.58,5263.72,One year,No,No
Male,14,83.25,-999.26,Two year,No,Yes
Male,60,33.05,4524.61,Month-to-month,Fiber optic,No
Male,30,54.67,2228.86,One year,DSL,No
Female,35,83.64,-422.52,Two year,Fiber optic,Yes
Female,37,49.01,3130.82,Month-to-month,No,No
Male,5,72.03,2045.57,Month-to-month,DSL,Yes
Male,26,84.02,3370.08,Month-to-month,No,No
Female,62,-2.77,4016.61,Month-to-month,DSL,No
Male,4,62.84,266.27,Month-to-month,No,Yes
Male,42,63.62,4022.38,Two year,No,No
Male,18,56.76,2509.72,Two year,No,No
Female,40,71.03,4529.26,Month-to-month,DSL,No
Female,72,78.15,2192.28,Month-to-month,DSL,No
Female,39,67.84,1794.39,Month-to-month,DSL,No
Male,14,57.52,2540.58,Two year,DSL,Yes
Male,32,77.65,2652.79,Month-to-month,DSL,No
Female,51,65.98,1505.82,Month-to-month,Fiber optic,No
Female,38,60.39,1755.54,Month-to-month,Fiber optic,No
Female,23,38.75,659.69,Month-to-month,Fiber optic,No
Female,63,33.75,1848.03,Month-to-month,Fiber optic,No
Male,15,38.38,3514.47,Two year,DSL,No
Female,25,70.57,2293.97,One year,No,No
Male,17,63.42,4013.6,One year,DSL,No
Female,66,35.39,2221.86,Month-to-month,Fiber optic,No
Male,53,77.92,352.72,One year,Fiber optic,Yes
Female,51,92.49,3395.91,One year,No,No
Female,39,53.03,1489.57,Month-to-month,DSL,Yes
Female,51,30.18,2149.95,One year,Fiber optic,No
Female,70,50.82,4356.36,Month-to-month,Fiber optic,Yes
Male,6,82.09,758.69,Two year,DSL,Yes
Female,67,75.97,2747.12,Month-to-month,Fiber optic,No
Male,7,46.55,2439.22,Two year,No,No
Male,51,95.42,3551.39,Month-to-month,No,Yes
Male,72,91.97,3782.73,One year,DSL,No
Male,42,50.34,2895.76,One year,DSL,No
Female,64,50.13,1959.44,One year,DSL,No
Male,15,53.14,3210.06,Month-to-month,DSL,Yes
Male,29,54.85,4503.48,Month-to-month,DSL,No
Male,33,84.01,2459.07,One year,DSL,No
Female,27,73.51,2099.12,Month-to-month,No,Yes
Female,36,82.54,3082.26,Month-to-month,No,No
Female,29,78.47,2558.09,One year,DSL,No
Female,38,99.29,493.44,One year,DSL,Yes
Male,57,43.81,2859.0,Month-to-month,Fiber optic,No
Male,27,72.61,479.86,Month-to-month,DSL,No
Female,55,21.52,3061.72,Month-to-month,Fiber optic,No
Male,33,38.66,1304.29,One year,Fiber optic,No
Male,68,63.5,2555.31,One year,No,No
Male,66,73.36,3085.89,Two year,Fiber optic,No
Female,10,62.96,6180.86,Two year,Fiber optic,No
Female,5,53.66,3614.12,Month-to-month,Fiber optic,No
Male,38,57.21,4547.2,Month-to-month,DSL,No
Female,13,92.39,5307.62,Month-to-month,Fiber optic,No
Female,31,57.32,3233.88,Month-to-month,Fiber optic,No
Female,47,99.98,2928.53,Two year,DSL,Yes
Female,52,80.88,899.92,One year,DSL,No
Female,56,74.15,2325.06,Month-to-month,DSL,No
Male,15,41.13,1415.37,Month-to-month,No,Yes
Female,29,83.7,1898.41,One year,DSL,No
Male,8,55.12,5306.0,One year,DSL,Yes
Male,5,41.11,2671.93,Month-to-month,DSL,No
Female,29,75.26,1186.15,Two year,Fiber optic,No
Male,47,37.24,4561.8,One year,DSL,No
Male,68,49.76,3932.91,Month-to-month,No,Yes
Male,45,64.8,4011.48,Two year,No,No
Female,2,109.37,-509.2,Month-to-month,Fiber optic,No
Female,27,51.26,5423.01,Two year,Fiber optic,Yes
Male,36,55.84,1662.23,Two year,DSL,No
Female,36,79.65,3666.93,One year,DSL,No
Female,26,40.23,6285.7,One year,Fiber optic,No
Female,43,73.86,5733.0,Month-to-month,DSL,Yes
Female,27,89.12,1033.66,Two year,DSL,No
Male,69,58.86,333.22,One year,Fiber optic,No
Male,20,85.52,4645.52,One year,DSL,No
Female,11,70.83,2713.08,Two year,No,Yes
Female,38,50.39,1748.68,Two year,DSL,No
Male,6,61.04,3431.83,Two year,Fiber optic,No
Male,72,57.4,2255.68,Month-to-month,Fiber optic,No
Female,23,63.25,3551.99,Two year,Fiber optic,No
Male,47,68.05,2600.47,One year,DSL,No
Female,46,76.76,3583.58,Two year,Fiber optic,No
Female,12,75.17,1158.2,One year,No,No
Male,13,16.37,4636.69,Month-to-month,Fiber optic,No
Male,62,63.05,3546.44,Month-to-month,DSL,No
Female,60,34.81,3469.45,One year,Fiber optic,No
Female,43,59.49,823.5,One year,Fiber optic,No
Male,68,62.52,5049.45,Month-to-month,Fiber optic,Yes
Female,5,84.52,2479.43,One year,No,Yes
Male,37,64.4,3592.07,Month-to-month,DSL,No
Female,72,70.18,2015.76,Two year,Fiber optic,No
Male,31,80.86,2891.33,Month-to-month,Fiber optic,Yes
Male,9,89.56,2945.69,Month-to-month,Fiber optic,Yes
Male,51,62.54,-1729.9,Month-to-month,No,No
Female,29,66.88,3373.67,Month-to-month,No,No
Female,40,65.2,5448.01,Month-to-month,Fiber optic,Yes
Male,41,54.15,3309.67,Month-to-month,DSL,No
Female,11,49.62,1063.44,Month-to-month,DSL,No
Male,23,19.56,3474.94,Two year,Fiber optic,No
Male,1,43.47,4089.22,Two year,No,No
Female,46,29.43,3268.7,Month-to-month,DSL,No
Female,21,90.1,2388.81,Two year,DSL,No
Male,36,68.77,2136.78,Month-to-month,DSL,No
Female,54,62.48,2130.54,One year,No,No
Female,57,50.65,3546.67,One year,DSL,No
Male,1,65.6,389.31,Month-to-month,Fiber optic,Yes
Male,63,48.04,1942.19,Month-to-month,Fiber optic,No
Female,54,68.48,4893.41,Month-to-month,No,No
Male,55,69.91,4951.29,Month-to-month,Fiber optic,No
Male,40,47.77,282.78,One year,Fiber optic,No
Female,15,47.39,802.88,Month-to-month,DSL,No
Male,21,84.24,2094.07,Month-to-month,Fiber optic,No
Male,47,63.94,3838.88,Month-to-month,Fiber optic,No
Female,53,49.38,-241.21,Month-to-month,No,No
Female,9,57.59,2417.79,One year,DSL,No
Male,52,44.79,1788.73,Month-to-month,DSL,No
Male,57,63.66,4488.95,Two year,DSL,No
Female,26,81.63,-15.36,Month-to-month,DSL,No
Female,41,64.45,2638.81,Month-to-month,No,No
Female,35,112.27,1909.59,One year,DSL,No
Female,63,73.43,4704.7,Month-to-month,Fiber optic,No
Male,25,69.6,3396.48,One year,DSL,No
Female,38,46.83,1621.28,One year,DSL,Yes
Female,2,60.23,3780.08,Month-to-month,Fiber optic,Yes
Male,7,49.42,1916.76,Month-to-month,DSL,No
Female,34,21.69,3998.99,Month-to-month,DSL,No
Male,17,84.49,2144.38,Month-to-month,Fiber optic,Yes
Female,43,54.77,4082.0,Month-to-month,Fiber optic,No
Female,59,49.79,3154.12,Month-to-month,DSL,Yes
Female,51,69.21,7390.74,Month-to-month,No,No
Male,54,75.25,2420.66,One year,Fiber optic,No
Male,24,58.58,3074.29,One year,Fiber optic,No
Female,25,64.95,1780.86,One year,DSL,No
Male,71,79.92,2504.03,Month-to-month,DSL,No
Male,52,57.8,-1552.75,Month-to-month,DSL,No
Male,70,71.05,3198.38,Two year,DSL,No
Male,33,31.82,4514.31,One year,Fiber optic,No
Male,49,40.17,3094.95,Two year,No,No
Male,29,77.11,529.21,Month-to-month,Fiber optic,No
Female,63,39.13,1297.32,One year,DSL,Yes
Female,22,69.68,-1145.29,One year,Fiber optic,No
Male,26,62.06,3968.39,Month-to-month,DSL,Yes
Female,28,57.71,990.23,Month-to-month,Fiber optic,No
Female,49,48.43,2456.94,One year,Fiber optic,No
Female,71,83.19,2269.39,Month-to-month,Fiber optic,No
Female,49,99.6,4731.59,Month-to-month,No,No
Male,20,71.0,2627.92,One year,DSL,Yes
Female,63,71.45,3713.34,Two year,Fiber optic,No
Female,61,51.35,3319.7,Month-to-month,No,No
Male,49,41.08,4539.12,Month-to-month,Fiber optic,No
Male,71,64.21,2141.31,Month-to-month,Fiber optic,No
Female,1,45.53,5304.42,One year,No,No
Female,13,29.55,-478.49,Month-to-month,DSL,No
Female,51,81.07,3786.21,Two year,No,No
Female,56,82.04,1200.07,Month-to-month,DSL,No
Female,62,47.82,1760.88,Month-to-month,Fiber optic,No
Female,32,69.88,3354.12,One year,No,No
Male,30,85.04,3342.1,Two year,DSL,No
Female,29,69.1,3409.64,Month-to-month,Fiber optic,Yes
Female,49,41.14,420.76,Month-to-month,DSL,No
Male,45,60.34,4673.55,Two year,No,No
Male,30,91.54,1149.03,Month-to-month,No,No
Male,16,69.94,1349.07,Two year,Fiber optic,Yes
Male,40,75.78,3456.85,Month-to-month,Fiber optic,No
Female,19,71.83,2069.92,One year,No,No
Female,18,47.89,2962.39,One year,DSL,No
Female,1,52.58,-734.9,Month-to-month,Fiber optic,Yes
Female,47,71.78,2926.49,Two year,Fiber optic,No
Female,66,81.34,2826.75,Month-to-month,DSL,No
Female,38,87.0,1735.21,Month-to-month,DSL,Yes
Male,51,47.84,-611.11,One year,DSL,No
Female,63,73.66,2180.79,Month-to-month,DSL,No
Male,4,88.74,2443.94,One year,No,Yes
Male,1,45.26,1949.16,Month-to-month,Fiber optic,No
Female,8,94.73,-254.26,Month-to-month,Fiber optic,Yes
Male,29,97.78,4892.1,Month-to-month,DSL,Yes
Female,55,117.5,1541.71,Month-to-month,DSL,No
Male,3,69.62,2166.69,Month-to-month,DSL,No
Female,32,69.73,-1114.21,One year,Fiber optic,No
Male,10,81.54,4892.28,Two year,Fiber optic,No
Female,34,80.96,1800.18,Two year,No,Yes
Female,55,87.53,2647.69,Month-to-month,Fiber optic,No
Female,32,80.68,4181.11,Month-to-month,Fiber optic,No
Female,50,62.88,1485.54,Month-to-month,Fiber optic,No
Female,7,89.44,3944.87,Month-to-month,No,No
Male,8,43.57,-591.99,One year,Fiber optic,No
Male,65,65.12,3326.48,Month-to-month,DSL,No
Male,57,96.27,4858.36,Month-to-month,Fiber optic,No
Female,67,40.0,1629.37,Two year,Fiber optic,No
Male,59,51.45,4178.32,Month-to-month,Fiber optic,No
Female,72,78.43,5250.88,Month-to-month,DSL,No
Female,54,72.88,2117.74,Month-to-month,No,Yes
Male,67,47.5,1993.71,Month-to-month,No,No
Male,51,56.68,1152.56,Two year,DSL,No
Female,8,41.38,1735.4,Month-to-month,No,No
Male,34,84.61,1276.96,Month-to-month,DSL,No
Female,35,59.88,1151.33,Month-to-month,DSL,No
Female,32,100.84,4298.25,Month-to-month,DSL,No
Female,46,66.62,1315.11,Month-to-month,DSL,No
Female,16,60.61,2887.78,Two year,No,No
Female,68,58.66,2557.35,Two year,DSL,No
Male,37,60.12,4747.14,One year,DSL,No
Male,54,67.22,1745.27,Month-to-month,DSL,No
Female,14,115.25,3071.72,Two year,DSL,No
Female,55,58.22,3686.6,One year,DSL,No
Male,48,58.87,4734.62,Month-to-month,Fiber optic,No
Male,7,66.31,1723.37,One year,DSL,No
Female,7,86.81,1573.16,Month-to-month,No,Yes
Male,33,36.58,907.33,Month-to-month,No,Yes
Female,23,74.1,5854.45,One year,DSL,No
Male,19,48.65,4576.71,Month-to-month,No,No
Female,19,76.07,2436.7,One year,DSL,No
Male,36,55.12,5397.16,Month-to-month,DSL,No
Female,29,18.92,2347.2,Two year,DSL,No
Male,60,72.39,3586.62,Two year,DSL,No
Male,2,72.22,2515.26,Two year,Fiber optic,No
Female,1,53.42,3096.71,Month-to-month,Fiber optic,No
Male,47,52.23,2937.64,Month-to-month,DSL,No
Female,69,38.77,1862.52,Month-to-month,Fiber optic,Yes
Male,20,80.46,4138.75,Month-to-month,DSL,Yes
Female,11,82.64,3573.93,Month-to-month,Fiber optic,Yes
Male,2,47.42,4041.54,One year,DSL,No
Female,67,54.2,2980.34,One year,DSL,No
Male,12,63.73,1140.15,Two year,DSL,No
Female,20,110.42,5064.08,Month-to-month,DSL,No
Male,5,75.9,2106.17,Month-to-month,Fiber optic,No
Female,37,46.13,3046.1,Month-to-month,No,No
Female,38,71.08,3453.07,Two year,DSL,No
Female,9,37.47,3036.13,One year,Fiber optic,No
Male,53,79.36,3873.13,Two year,Fiber optic,No
Female,44,98.51,4110.07,Two year,No,No
Male,24,98.6,2162.75,One year,DSL,No
Female,30,79.7,4938.2,Month-to-month,Fiber optic,No
Male,59,53.33,2099.64,Month-to-month,No,No
Female,14,38.98,3005.12,One year,Fiber optic,No
Male,9,37.0,1918.48,Month-to-month,DSL,No
Male,40,8.88,1489.79,Month-to-month,DSL,No
Female,66,78.88,4066.29,Two year,DSL,No
Male,25,62.94,7182.85,Two year,Fiber optic,No
Male,22,83.18,1957.36,One year,Fiber optic,No
Female,4,93.56,4322.98,One year,DSL,Yes
Male,26,67.0,2011.13,One year,Fiber optic,No
Male,58,67.92,2484.27,Month-to-month,Fiber optic,No
Male,29,55.71,5136.38,Month-to-month,Fiber optic,No
Female,37,58.08,889.7,One year,Fiber optic,No
Male,70,79.57,492.76,One year,No,No
Female,18,61.51,2369.2,Month-to-month,DSL,Yes
Male,42,58.62,3495.48,Two year,No,No
Male,41,64.63,3195.5,Month-to-month,DSL,No
Male,38,82.73,3041.02,Month-to-month,DSL,No
Female,34,51.15,2551.2,One year,DSL,No
Male,17,63.67,3679.81,Month-to-month,DSL,No
Male,37,69.91,-1870.51,Month-to-month,DSL,No
Female,25,88.2,1373.79,Month-to-month,DSL,Yes
Male,27,60.21,2359.58,One year,No,No
Female,57,50.64,3556.8,Month-to-month,DSL,No
Female,31,55.31,4734.65,One year,Fiber optic,No
Male,6,86.06,1172.35,One year,DSL,No
Female,40,105.67,4685.62,Month-to-month,No,No
Male,12,38.72,1821.16,Two year,Fiber optic,No
Female,53,43.09,2305.14,Month-to-month,DSL,No
Female,71,61.62,3372.15,Two year,Fiber optic,No
Male,10,67.22,2195.15,One year,Fiber optic,Yes
Female,45,80.74,4165.18,Two year,Fiber optic,No
Female,17,47.18,1893.09,Month-to-month,Fiber optic,No
Female,26,43.74,1915.7,Month-to-month,Fiber optic,No
Female,62,67.76,4077.97,Month-to-month,Fiber optic,No
Female,46,59.83,1355.31,Month-to-month,Fiber optic,No
Male,64,83.53,2873.39,One year,DSL,No
Female,2,74.75,9.28,Month-to-month,No,Yes
Male,54,76.11,5229.46,One year,DSL,No
Female,65,62.91,4309.83,Month-to-month,Fiber optic,No
Male,51,112.11,6625.16,Month-to-month,DSL,No
